,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
125,AMPN_MOUSE,LT-Ctrl,0.198615143289104,0.203331925936014,0.976802547729789,2.0,0.431682524493191,1.0,,0.4,0.0666666666666667
126,AMY1_MOUSE,LT-Ctrl,2.8081137393162,0.287521457833397,9.76662319562718,1.0,0.0649568389042683,0.45800119271055956,,0.488888888888889,0.0444444444444444
127,AMYP_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,,
128,AN13A_MOUSE,LT-Ctrl,-1.74860157019226,0.594148936355365,-2.94303576628202,2.0,0.0986629800965231,0.5601404299520051,,0.6,0.155555555555556
129,AN13C_MOUSE,LT-Ctrl,-0.0714824599750703,0.663633599625605,-0.10771374447496,1.0,0.931690668747622,1.0,,0.644444444444444,0.0888888888888889
130,AN32A_MOUSE,LT-Ctrl,0.0357955024872822,0.412551847635852,0.0867660699919539,1.0,0.944900995992205,1.0,,0.555555555555556,0.0
131,AN34B_MOUSE,LT-Ctrl,1.67519890237837,0.841517511225936,1.99068810812732,0.0,,1.0,,0.777777777777778,0.0
132,ANC2_MOUSE,LT-Ctrl,,,,,,1.0,,,
133,ANCHR_MOUSE,LT-Ctrl,0.628197472907282,0.783366468794777,0.801920299031659,5.0,0.458999103547505,1.0,,0.652777777777778,0.430555555555556
134,ANFY1_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.481481481481482,0.037037037037037
135,ANGL7_MOUSE,LT-Ctrl,inf,,,,,1.0,oneConditionMissing,0.574074074074074,0.0185185185185185
136,ANGT_MOUSE,LT-Ctrl,0.612405942072845,0.373046703815889,1.64163343572951,2.0,0.242364658436484,0.7746909756001441,,0.518518518518519,0.0740740740740741
137,ANK1_MOUSE,LT-Ctrl,-inf,,,,,1.0,oneConditionMissing,0.482758620689655,0.0383141762452107
138,ANK1_MOUSE;ANK2_MOUSE;ANK3_MOUSE,LT-Ctrl,,,,,,1.0,,,
139,ANK2_MOUSE,LT-Ctrl,0.762505905402412,0.465450354679368,1.63821103096522,5.0,0.162303471536542,0.6764164969569906,,0.544444444444445,0.322222222222222
140,ANK3_MOUSE,LT-Ctrl,-0.0821195402578105,0.190401439268114,-0.431296846145023,5.0,0.684215004266828,1.0,,0.555555555555556,0.333333333333333
141,ANKR2_MOUSE,LT-Ctrl,-0.682518605459916,0.394015141581393,-1.73221415481802,4.0,0.158272186696825,0.6684942396215763,,0.555555555555556,0.333333333333333
142,ANKS6_MOUSE,LT-Ctrl,,,,,,1.0,,,
143,ANM1_MOUSE,LT-Ctrl,-0.444848246082505,0.425807216720127,-1.04471748860681,4.0,0.355129202843654,0.9240326030368918,,0.488888888888889,0.266666666666667
144,ANM3_MOUSE,LT-Ctrl,,,,,,1.0,completeMissing,,
145,ANM5_MOUSE,LT-Ctrl,-0.217321682748188,0.120759103512073,-1.79962981197903,2.0,0.213728084974207,0.7425048754732739,,0.333333333333333,0.0
146,ANM7_MOUSE,LT-Ctrl,0.25633398045839,0.244923728268724,1.04658696105241,1.0,0.485510970174678,1.0,,0.422222222222222,0.2
147,ANR17_MOUSE,LT-Ctrl,-0.98511346928272,0.420604276535167,-2.34213849986938,2.0,0.143950466636192,0.6440516301737382,,0.388888888888889,0.166666666666667
148,ANR46_MOUSE,LT-Ctrl,-0.395545691341365,0.425147024261238,-0.930373891311342,4.0,0.40484276175677,0.9777553557690895,,0.595959595959596,0.262626262626263
149,ANS1A_MOUSE,LT-Ctrl,-0.475674124154373,0.292979669542018,-1.6235738298768,1.0,0.351444016220699,0.9218087371442463,,0.333333333333333,0.0
150,ANTR2_MOUSE,LT-Ctrl,-0.782408674425179,0.290798824340225,-2.69054964785479,5.0,0.0432702180580888,0.38834501518094233,,0.494949494949495,0.383838383838384
151,ANX11_MOUSE,LT-Ctrl,0.0293273330243485,0.391841396043799,0.0748449074560522,5.0,0.943240321435889,1.0,,0.388888888888889,0.277777777777778
152,ANXA1_MOUSE,LT-Ctrl,-2.69454382777656,0.379632152932345,-7.09777558872037,2.0,0.019277646539043,0.29852814361906804,,0.5,0.166666666666667
