specie	ProteinName	T	N	p	q	log2(A,B)
P02749	P02749	21.344487623914638	20.64515768432321	0.02172899949780597	0.03701937067395009	0.6993299395914292
P02751	P02751	22.521152227464267	21.320794790152682	0.0006653966496385862	0.0024455758297409875	1.2003574373115846
P02760	P02760	20.313884816764066	20.70067223223975	0.45654721192455894	0.5053188247506873	-0.38678741547568407
P02763	P02763	22.360110054431754	22.070572658599925	0.36565539365097677	0.4153077414006551	0.2895373958318288
P02765	P02765	20.192406726562602	20.81284594202677	0.25317525490238113	0.30781586669404154	-0.6204392154641667
P02768	P02768	27.22183247383898	27.507769956382308	0.7973054548242055	0.8000141446906425	-0.2859374825433285
P02774	P02774	20.630093126985813	20.740080788813003	0.7880419250111383	0.7956001262101345	-0.10998766182719066
P02787	P02787	22.60558188748983	22.784499610679646	0.9625683380679836	0.9260686567509774	-0.1789177231898158
P02788	P02788	21.657892643920967	20.346713666611553	0.07934404881984193	0.11235513052627137	1.3111789773094138
P02790	P02790	21.258583310887673	21.222633637580316	0.6046571609988902	0.6380255008504678	0.03594967330735699
P04003	P04003	19.013975755490076	18.79264020014461	0.39265933073140535	0.44290282914228385	0.22133555534546545
P04004	P04004	22.726518954797058	21.897951707802797	0.0009355745376637372	0.0030003281191223565	0.8285672469942611
P04040	P04040	20.32263258877695	22.09471716537247	0.005781657913913778	0.012280673961780184	-1.7720845765955175
P04075	P04075	23.55381331742508	21.697768019960552	3.3880439517783465e-06	0.00010075042360389005	1.8560452974645294
P04083	P04083	22.068072525168358	21.100084645685502	0.0077535056515969395	0.01585143760169995	0.9679878794828554
P04114	P04114	20.561875507944013	20.83521051218956	0.8339938508151807	0.8272075500374816	-0.2733350042455456
P04196	P04196	18.769867088896543	18.087503195047816	0.051226882044303576	0.078302329052892	0.6823638938487271
P04217	P04217	19.87158226821793	19.64785711385944	0.32937935547020936	0.3793748753025141	0.22372515435849039
P04275	P04275	18.97592449823124	19.859686262364473	0.038494218451631715	0.060829702357559495	-0.8837617641332329
P04350;P68371;Q3ZCM7	P04350;P68371;Q3ZCM7	23.39876548643457	22.365955522135955	0.017657849462218787	0.0317363481966533	1.0328099642986146
P04406	P04406	25.47286853031156	23.580441496038723	8.243058451444485e-07	8.388805603922531e-05	1.8924270342728349
P04632	P04632	19.643501864351606	19.022348298097903	0.03139357638603365	0.05058657616357814	0.6211535662537031
P04792	P04792	20.851937200514282	19.867213338232276	0.002590895745795289	0.006420465801153944	0.9847238622820065
P04843	P04843	20.90067985723694	18.587115190349056	1.7717605229466834e-05	0.0002488340055983387	2.313564666887885
P04899	P04899	20.00020725105484	18.989424512722078	8.906288227934765e-05	0.0006198540143814887	1.010782738332761
P05090	P05090	20.15050417733241	20.371185660312534	0.9395925495409985	0.9066306491351719	-0.22068148298012247
P05091	P05091	20.40129393296127	20.606652582073345	0.9708130342147419	0.9312617167655081	-0.2053586491120747
P05107	P05107	19.497487180012573	18.103871782051908		1.0	1.3936153979606658
P05155	P05155	19.253978293596905	19.41438325791923	0.9061995376304033	0.8822163235025919	-0.16040496432232487
P05164	P05164	21.397991155053504	19.75150181273236	0.057455736351943974	0.0842789395129508	1.6464893423211429
P05362	P05362	18.670217957464573	18.69747205754083		1.0	-0.02725410007625584
