,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1560,NHSL1_MOUSE,ST-Ctrl,-0.201060203562257,0.332562206202361,-0.604579233035018,2.0,0.606911556689705,1.0,,0.4,0.0
1561,NICA_MOUSE,ST-Ctrl,-0.457770951973564,0.153994179927745,-2.97265099361776,1.0,0.206588255385649,0.7891337192814736,,0.47,0.17
1562,NID1_MOUSE,ST-Ctrl,1.17525599219782,0.443876294651696,2.64771064902223,0.0,,1.0,,0.72,0.02
1563,NIPS1_MOUSE,ST-Ctrl,0.0819790775078972,0.545590766334633,0.150257450393902,2.0,0.89434660648822,1.0,,0.5,0.0
1564,NISCH_MOUSE,ST-Ctrl,0.0207206061287263,0.290848832499411,0.0712418404800312,1.0,0.954722532747815,1.0,,0.728571428571429,0.328571428571429
1565,NKX12_MOUSE,ST-Ctrl,0.482924894228619,0.163017867063944,2.96240469174578,0.0,,1.0,,0.7,0.0
1566,NLRX1_MOUSE,ST-Ctrl,0.26002449486488,0.40261158718153,0.645844538864798,5.0,0.546846957565586,1.0,,0.425,0.325
1567,NMNA1_MOUSE,ST-Ctrl,0.0579060869320828,0.266947536150991,0.216919353394331,1.0,0.864011659392929,1.0,,0.6,0.2
1568,NMT1_MOUSE,ST-Ctrl,-inf,,,,,1.0,oneConditionMissing,,
1569,NOE1_MOUSE,ST-Ctrl,-0.119546520402972,0.0783764371766392,-1.52528648544647,1.0,0.369438127634103,0.9358443690240229,,0.42,0.12
1570,NOMO1_MOUSE,ST-Ctrl,0.187968026349395,,,0.0,,1.0,,0.8,0.0
1571,NOTC2_MOUSE,ST-Ctrl,0.0565364077889422,0.324812781326549,0.174058445477562,3.0,0.872902412300067,1.0,,0.569230769230769,0.369230769230769
1572,NP1L1_MOUSE,ST-Ctrl,-0.855485556756479,0.294870035822801,-2.90122919532785,3.0,0.0624398153081156,0.545503057054823,,0.1,0.0
1573,NPS3B_MOUSE,ST-Ctrl,-0.306125865647949,0.0282060167279995,-10.8532115186638,0.0,,1.0,,0.74,0.04
1574,NPTXR_MOUSE,ST-Ctrl,-0.84538570057443,0.214082227689669,-3.94888314503104,0.0,,1.0,,0.466666666666667,0.0666666666666667
1575,NQO2_MOUSE,ST-Ctrl,-0.135735910450726,0.152879376067718,-0.887862797076056,2.0,0.468288464610724,1.0,,0.416666666666667,0.116666666666667
1576,NRBP_MOUSE,ST-Ctrl,-0.241528938255327,0.431918601677133,-0.559200130111261,4.0,0.605853070478465,1.0,,0.41,0.21
1577,NRBP2_MOUSE,ST-Ctrl,0.598884734648773,0.173471807751543,3.45234619049184,1.0,0.179489855781501,0.7506101038205697,,0.45,0.15
1578,NRN1_MOUSE,ST-Ctrl,-0.596990381868715,0.305474377721591,-1.95430591043813,3.0,0.145659664381923,0.7100970081509181,,0.38,0.08
1579,NRP1_MOUSE,ST-Ctrl,-0.201012557584784,0.18600041784051,-1.08071024742077,3.0,0.35895644503401,0.9264059842007061,,0.35,0.25
1580,NS1BP_MOUSE,ST-Ctrl,0.0971290299378978,0.114512567572487,0.848195372760413,4.0,0.444103916979876,1.0,,0.15,0.15
1581,NSDHL_MOUSE,ST-Ctrl,0.736604311115126,0.470538933698974,1.56544816668958,1.0,0.361891387055599,0.9273765993392021,,0.48,0.18
1582,NSMA3_MOUSE,ST-Ctrl,0.281438696275256,0.155456204743457,1.81040503812442,3.0,0.167922562674716,0.7388671342513746,,0.685714285714286,0.285714285714286
1583,NSUN2_MOUSE,ST-Ctrl,-0.287052918081073,0.555601578017056,-0.516652452834217,2.0,0.656853586639011,1.0,,0.68,0.28
1584,NSUN7_MOUSE,ST-Ctrl,0.233755713939021,0.580021559108672,0.403012112684634,2.0,0.725938393774735,1.0,,0.475,0.075
1585,NT5C_MOUSE,ST-Ctrl,0.659535569974738,0.350728422393175,1.88047368808731,3.0,0.156621707739151,0.7244435442052148,,0.4,0.2
1586,NT5D3_MOUSE,ST-Ctrl,,,,,,1.0,completeMissing,,
1587,NU107_MOUSE,ST-Ctrl,-0.663324225692906,0.548767579513388,-1.20875257660283,1.0,0.440010288275257,0.998811474330331,,0.4,0.0
1588,NU133_MOUSE,ST-Ctrl,0.708733588182579,,,0.0,,1.0,,0.8,0.0
1589,NU155_MOUSE,ST-Ctrl,-0.599541013137231,0.161315652885368,-3.71657060188244,5.0,0.0137608895073753,0.3464238306341146,,0.557692307692308,0.457692307692308
1590,NU214_MOUSE,ST-Ctrl,-0.652153459232174,0.261512635496863,-2.49377418415409,2.0,0.130138677571441,0.6971871697987742,,0.8,0.2
1591,NU5M_MOUSE,ST-Ctrl,0.574419920799732,0.243000945142425,2.36385879266049,1.0,0.254779619660809,0.8346231571757758,,0.475,0.075
1592,NUB1_MOUSE,ST-Ctrl,-0.564114433560976,0.306311190825207,-1.84163834184851,3.0,0.16277230264272,0.7352941296053324,,0.333333333333333,0.133333333333333
1593,NUBP2_MOUSE,ST-Ctrl,-0.519388070177408,0.246040040084554,-2.11099002422091,1.0,0.281638304470986,0.8630110119048944,,0.4,0.1
1594,NUD12_MOUSE,ST-Ctrl,0.266912401065999,0.378556910216125,0.705078665486821,2.0,0.553813441855531,1.0,,0.4,0.1
1595,NUD16_MOUSE,ST-Ctrl,-0.690703264481352,0.307701603536768,-2.24471779328513,4.0,0.088159612531894,0.6129366847835459,,0.611111111111111,0.311111111111111
1596,NUDC_MOUSE,ST-Ctrl,-1.41278028928363,0.0932428682734308,-15.1516176565988,1.0,0.0419557723640285,0.4824231509229084,,0.58,0.08
1597,NUDC1_MOUSE,ST-Ctrl,-0.981623080734969,0.179169339706806,-5.47874475812271,0.0,,1.0,,0.675,0.175
1598,NUDC2_MOUSE,ST-Ctrl,-0.433161877134302,0.0806360161929385,-5.37181643619239,3.0,0.0126303636394911,0.3351248943715413,,0.2,0.0
1599,NUDC3_MOUSE,ST-Ctrl,-0.309929983926212,0.373935877183509,-0.828831900968181,4.0,0.453791893768895,1.0,,0.5125,0.4125
1600,NUMA1_MOUSE,ST-Ctrl,-0.608927168652719,0.172041547781305,-3.53941926532056,5.0,0.0165728047687619,0.3464238306341146,,0.543478260869565,0.343478260869565
1601,NUP35_MOUSE,ST-Ctrl,-0.0287193510163357,0.215494517360783,-0.133271840824857,6.0,0.898335914493027,1.0,,0.566666666666667,0.466666666666667
1602,NUP37_MOUSE,ST-Ctrl,-0.26610906937614,0.0615004354021628,-4.32694610429996,1.0,0.144590515355841,0.7090791586201907,,0.5,0.0
1603,NUP54_MOUSE,ST-Ctrl,-0.559572090987738,0.363256074902028,-1.54043422711832,2.0,0.263357927952023,0.8389258571230594,,0.4,0.1
1604,NUP62_MOUSE,ST-Ctrl,0.591585685728012,0.392327920208725,1.50788576406512,3.0,0.228699517021366,0.8082796360215393,,0.463636363636364,0.363636363636364
