"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"AL1B1_MOUSE","T2-T1",0.223989311359472,0.0997966905862684,2.24445630454896,2,0.153943520345757,0.491892595900793,NA,0.311111111111111,0.0888888888888889
"AL3A2_MOUSE","T2-T1",1.27112036189901,0.0785199135509232,16.1885094419346,2,0.00379410330720509,0.306624345049242,NA,0.466666666666667,0.355555555555556
"AL3B1_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ALAT2_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALDOA_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ALDOB_MOUSE","T2-T1",-5.80046145397194,1.888073809708,-3.07215820914809,0,NA,NA,NA,0.534722222222222,0.0902777777777778
"ALDOC_MOUSE","T2-T1",-0.0504314799610602,0.151041221940669,-0.333892160782905,1,0.794847104453861,0.891820108855427,NA,0.472222222222222,0.0277777777777778
"ALDR_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALG3_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AMBP_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AMD_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AMFR_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AMPD1_MOUSE","T2-T1",-0.17049688973199,0.218776943197774,-0.77931836527152,0,NA,NA,NA,0.488888888888889,0.0444444444444444
"AMPD3_MOUSE","T2-T1",-0.219838928329339,0.276709963697788,-0.794474204656536,3,0.484964859834579,0.6980988491573,NA,0.506944444444444,0.506944444444444
"AMPE_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMPN_MOUSE","T2-T1",-0.354999553596669,0.344406216172004,-1.03075826430315,1,0.490358368889282,0.70350080656649,NA,0.4,0.0666666666666667
"AMY1_MOUSE","T2-T1",-2.21527689684115,0.906948131729548,-2.44256183935968,0,NA,NA,NA,0.488888888888889,0.0444444444444444
"AMYP_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AN13A_MOUSE","T2-T1",1.41500572137509,0.489085202483434,2.89316813142188,0,NA,NA,NA,0.580246913580247,0.135802469135802
"AN13C_MOUSE","T2-T1",0.40157749511084,0.172427022585046,2.3289707674026,0,NA,NA,NA,0.555555555555556,0
"AN32A_MOUSE","T2-T1",-0.0546023639951372,0.41751975384719,-0.130777917672181,1,0.917214017525199,0.965460640687727,NA,0.555555555555556,0
"ANC2_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANCHR_MOUSE","T2-T1",-0.23666922944391,0.214285161094651,-1.10445925529753,0,NA,NA,NA,0.444444444444444,0.111111111111111
"ANFY1_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ANGL7_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ANGT_MOUSE","T2-T1",-0.273983302997644,0.104650795911935,-2.61807185134266,0,NA,NA,NA,0.466666666666667,0.0222222222222222
"ANK1_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ANK1_MOUSE;ANK2_MOUSE;ANK3_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ANK2_MOUSE","T2-T1",-0.643818123378229,0.260006224372204,-2.47616427234677,1,0.244348227166799,0.556413167177786,NA,0.496732026143791,0.274509803921569
"ANK3_MOUSE","T2-T1",0.202148564480999,0.172653888045669,1.17083123217896,2,0.362287606282357,0.623714342975707,NA,0.538461538461538,0.316239316239316
"ANKR2_MOUSE","T2-T1",0.513960117198929,0.0936662547522979,5.48714281955765,2,0.0316448707118344,0.389127114074492,NA,0.455555555555556,0.233333333333333
"ANKS6_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANM1_MOUSE","T2-T1",0.418886514529387,0.328293002689471,1.27595322196254,1,0.423186505710194,0.666661054805688,NA,0.444444444444444,0.222222222222222
"ANM5_MOUSE","T2-T1",0.125945486813157,0.0610119626231432,2.06427528960333,1,0.287189001021917,0.594451418725487,NA,0.333333333333333,0
"ANM7_MOUSE","T2-T1",-0.250516105482029,0.245389033191518,-1.02089364884742,1,0.493418339416094,0.705703142989605,NA,0.422222222222222,0.2
"ANR17_MOUSE","T2-T1",1.04692410036593,0.473534322005858,2.21087269013835,1,0.270419099177336,0.578471074979749,NA,0.311111111111111,0.0888888888888889
"ANR46_MOUSE","T2-T1",-0.0274957960810385,0.0229290931443384,-1.19916631276923,0,NA,NA,NA,0.577777777777778,0.244444444444444
"ANS1A_MOUSE","T2-T1",0.480666080932754,0.304809794274917,1.57693778205574,1,0.359782622918745,0.623714342975707,NA,0.333333333333333,0
"ANTR2_MOUSE","T2-T1",0.646117691560882,0.318718500580085,2.02723623004285,2,0.179846981249079,0.508576545733526,NA,0.395061728395062,0.283950617283951
"ANX11_MOUSE","T2-T1",0.150629036942674,0.170603140980073,0.882920654785996,2,0.470416410878741,0.692129840668467,NA,0.222222222222222,0
"ANXA1_MOUSE","T2-T1",2.66814259932551,0.000844893433190265,3157.96347150051,0,NA,NA,NA,0.444444444444444,0.111111111111111
"ANXA3_MOUSE","T2-T1",0.329929963763504,0.289261606991871,1.14059369023963,3,0.336849146063911,0.623714342975707,NA,0.423611111111111,0.423611111111111
"ANXA4_MOUSE","T2-T1",0.199444228899938,0.120608009450061,1.65365658391469,0,NA,NA,NA,0.666666666666667,0
"ANXA5_MOUSE","T2-T1",-0.159976989614334,0.242033597479595,-0.660970176373223,1,0.628183174246867,0.783975224369767,NA,0.361111111111111,0.0277777777777778
"ANXA6_MOUSE","T2-T1",0.000651835337379225,0.32215178777762,0.00202337954377328,3,0.99851260454137,0.99851260454137,NA,0.365079365079365,0.253968253968254
"AOFA_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AOFB_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"AOXA_MOUSE","T2-T1",0.0599737007693704,0.0287559668441997,2.08560891359727,0,NA,NA,NA,0.555555555555556,0
"AP1G1_MOUSE","T2-T1",1.46166244749446,0.145033933758053,10.0780721422948,1,0.0629627080049688,0.431515119830232,NA,0.407407407407407,0.0740740740740741
"AP1M1_MOUSE","T2-T1",-0.120414712891509,0.51966707811188,-0.231715107543497,2,0.838308680176508,0.919490458582999,NA,0.311111111111111,0.0888888888888889
"AP2B1_MOUSE","T2-T1",0.792611828376416,0.214176837604408,3.70073551016005,0,NA,NA,NA,0.444444444444444,0.111111111111111
"AP2S1_MOUSE","T2-T1",0.401473759891808,0.135294711395473,2.9674017243607,0,NA,NA,NA,0.444444444444444,0
"AP3B1_MOUSE","T2-T1",0.732866855058167,0.700743230369291,1.04584221908494,1,0.485737326234456,0.6980988491573,NA,0.5,0.277777777777778
"AP3B2_MOUSE","T2-T1",0.644459078812006,0.156251929713576,4.12448716629201,3,0.0258417465901297,0.387250327003551,NA,0.427350427350427,0.427350427350427
"AP3D1_MOUSE","T2-T1",0.306697136288936,0.301087787668375,1.0186302761198,1,0.494124696556137,0.705703142989605,NA,0.444444444444444,0.222222222222222
"APC1_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"API5_MOUSE","T2-T1",0.861334556185031,0.179139610621476,4.80817477048691,1,0.130542636973521,0.482626378622403,NA,0.222222222222222,0
"APOA1_MOUSE","T2-T1",-0.425241934130747,0.00145355398403134,-292.553244531975,0,NA,NA,NA,0.444444444444444,0.111111111111111
"APOB_MOUSE","T2-T1",-2.33097419426114,0.0135947630315972,-171.461186108463,1,0.0037128668522115,0.306624345049242,NA,0.53968253968254,0.317460317460317
"APOE_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AQP1_MOUSE","T2-T1",0.384997953714738,0.346036817888808,1.11259245783045,2,0.381689038693415,0.642718944654327,NA,0.185185185185185,0.0740740740740741
"AR2BP_MOUSE","T2-T1",0.115017237768101,0.399003874139113,0.288260954899902,2,0.800275497730899,0.893253563857311,NA,0.314814814814815,0.203703703703704
"ARAF_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARAP1_MOUSE","T2-T1",0.370573626787982,0.12972186032874,2.85667832583403,0,NA,NA,NA,0.5,0.0555555555555556
"ARC1A_MOUSE","T2-T1",0.810442879905886,1.00281358621067,0.80816902667654,0,NA,NA,NA,0.666666666666667,0
"ARFG1_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARFG2_MOUSE","T2-T1",0.323312519078032,0.577275613648385,0.56006613034404,2,0.631796239176761,0.7859106975193,NA,0.412698412698413,0.301587301587302
"ARFG3_MOUSE","T2-T1",-0.570799993306412,0.21976376718046,-2.59733440425462,0,NA,NA,NA,0.577777777777778,0.0222222222222222
"ARGI1_MOUSE","T2-T1",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARH37_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARH40_MOUSE","T2-T1",0.519918172408551,0.100547034791633,5.17089512869272,0,NA,NA,NA,0.666666666666667,0
"ARHG1_MOUSE","T2-T1",0.119649857116455,0.0189262076884499,6.3219139875271,0,NA,NA,NA,0.425925925925926,0.0925925925925926
"ARHGC_MOUSE","T2-T1",-0.298853594486068,0.396667949464313,-0.753409986588681,1,0.588947389638516,0.758138222093631,NA,0.505555555555556,0.283333333333333
"ARHGH_MOUSE","T2-T1",0.964719804691833,0.529298197504566,1.82263950499002,2,0.209935147831106,0.535567586115842,NA,0.375,0.263888888888889
"ARHGI_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARI1_MOUSE","T2-T1",1.00946491402942,0.553096946709506,1.82511387928454,1,0.319098002276452,0.611543630665073,NA,0.37037037037037,0.148148148148148
"ARL10_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARL15_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARL6_MOUSE","T2-T1",0.631604170936402,0.641881493350979,0.983988754122005,0,NA,NA,NA,0.444444444444444,0
"ARL8A_MOUSE;ARL8B_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMC8_MOUSE","T2-T1",0.446081116599861,0.0246691765592433,18.0825296510645,1,0.0351705197898813,0.389127114074492,NA,0.541666666666667,0.319444444444444
"ARMT1_MOUSE","T2-T1",-1.38254439653298,0.20462049085979,-6.75662730904269,0,NA,NA,NA,0.444444444444444,0
"ARMX3_MOUSE","T2-T1",0.565047018660981,0.333719314135416,1.69318045053784,1,0.339625446156724,0.623714342975707,NA,0.444444444444444,0.111111111111111
"ARP10_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARP19_MOUSE","T2-T1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARP2_MOUSE","T2-T1",-0.00297465227444481,0.259055451792342,-0.0114826854785874,1,0.99269021664317,0.993613649402838,NA,0.222222222222222,0
"ARP3_MOUSE","T2-T1",1.07834140239381,0.0835815620526225,12.9016660602118,1,0.0492455370632461,0.407063293178914,NA,0.388888888888889,0.0555555555555556
"ARP3B_MOUSE","T2-T1",-0.203542051016524,0.0558092615876406,-3.64710166782784,0,NA,NA,NA,0.555555555555556,0
"ARP5L_MOUSE","T2-T1",0.38569784637477,0.320653222668127,1.20285036640334,1,0.441541476276666,0.67860298531356,NA,0.407407407407407,0.185185185185185
"ARPC2_MOUSE","T2-T1",0.789891251760517,0.000701734694217023,1125.62661967548,0,NA,NA,NA,0.555555555555556,0
"ARPIN_MOUSE","T2-T1",0.557726881368665,0.215597708307504,2.586886872532,1,0.234830651875524,0.545497211863829,NA,0.351851851851852,0.0185185185185185
"ARRB2_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"ARVC_MOUSE","T2-T1",0.85065196905872,0.181564845032956,4.68511384406115,0,NA,NA,NA,0.433333333333333,0.1
"ASAP1_MOUSE","T2-T1",0.759430302917653,0.318942724185035,2.38108677618577,2,0.140215531907487,0.482626378622403,NA,0.444444444444444,0.333333333333333
"ASB6_MOUSE","T2-T1",0.3144410633125,0.44984785840524,0.698994243136397,0,NA,NA,NA,0.444444444444444,0.111111111111111
"ASC_MOUSE","T2-T1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
