,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
93,AGRIN_MOUSE,ST-LT,-0.124243034171428,0.264757079083766,-0.469271811735462,3.0,0.670874835145089,1.0,,0.682539682539683,0.349206349206349
94,AHSA1_MOUSE,ST-LT,-0.0024918949648107,0.39451299220435,-0.0063163825122392,3.0,0.995356835574467,1.0,,0.4,0.177777777777778
95,AHSA2_MOUSE,ST-LT,,,,,,1.0,,,
96,AHSP_MOUSE,ST-LT,,,,,,1.0,completeMissing,,
97,AINX_MOUSE,ST-LT,0.15113501239971,,,0.0,,1.0,,0.777777777777778,0.0
98,AIP_MOUSE,ST-LT,1.15034916098021,0.404267096640498,2.84551765538113,1.0,0.215144448020048,0.9015292932351601,,0.722222222222222,0.0555555555555556
99,AKA12_MOUSE,ST-LT,-0.0042815842390182,0.406915471389884,-0.0105220482878025,3.0,0.992265377946483,1.0,,0.703703703703704,0.259259259259259
100,AKAP9_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.555555555555556,0.0
101,AKCL2_MOUSE,ST-LT,1.04011770992153,0.0982881407559211,10.5823317230555,1.0,0.0599806294631935,0.6598982421280234,,0.444444444444444,0.111111111111111
102,AKT3_MOUSE,ST-LT,0.457931047634256,0.343215397165044,1.33423806570673,4.0,0.253017737664117,0.9491840800326825,,0.422222222222222,0.0888888888888889
103,AKTS1_MOUSE,ST-LT,0.477238573604176,0.124437852077816,3.83515598859534,3.0,0.0312514500119749,0.5796397312979089,,0.555555555555556,0.111111111111111
104,AL1A2_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.222222222222222
105,AL1A3_MOUSE,ST-LT,1.13283169764771,0.959476481291307,1.18067687925305,2.0,0.359122131215581,1.0,,0.5,0.166666666666667
106,AL1A7_MOUSE,ST-LT,-1.73303008935217,0.68334409572879,-2.5361016509609,1.0,0.239106814542578,0.9398520594507767,,0.650793650793651,0.317460317460317
107,AL1B1_MOUSE,ST-LT,-0.791030541661443,0.274916468277138,-2.87734869656488,3.0,0.0636667173118779,0.6650242854151147,,0.555555555555556,0.111111111111111
