Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
PBIP1_MOUSE,ST-Ctrl,0.918344973122903,0.648847092096734,1.4153488307319,7.0,0.199880411562479,0.427876207687551,,0.35,0.35
PBLD1_MOUSE;PBLD2_MOUSE,ST-Ctrl,,,,,,,completeMissing,,
PC4L1_MOUSE,ST-Ctrl,-0.523982787262206,0.368774946237562,-1.42087414724931,7.0,0.198331126622356,0.426920662989518,,0.0,0.0
PCAT1_MOUSE,ST-Ctrl,-0.0729949357907273,0.228493055489592,-0.319462382059364,7.0,0.758698677014622,0.86556480765513,,0.108333333333333,0.108333333333333
PCAT2_MOUSE,ST-Ctrl,-0.711150323835694,0.241785213653914,-2.94124819747505,4.0,0.0423364698910267,0.18804955127035,,0.28,0.18
PCBP1_MOUSE;PCBP2_MOUSE,ST-Ctrl,-0.619795636799493,0.236976050067066,-2.61543576502388,7.0,0.0346383526267615,0.174787071005926,,0.0,0.0
PCBP1_MOUSE;PCBP2_MOUSE;PCBP3_MOUSE,ST-Ctrl,-0.272816855377914,0.118815200216619,-2.29614438961114,7.0,0.0553044330297801,0.217239557105695,,0.175,0.175
PCBP2_MOUSE,ST-Ctrl,-0.150964766031628,0.0632317909238725,-2.3874820533453,7.0,0.0483474038489997,0.202173453032229,,0.0,0.0
PCBP2_MOUSE;PCBP3_MOUSE,ST-Ctrl,-0.259983036215422,0.0678367267636156,-3.83248202881842,7.0,0.0064370273618181,0.0741862779751535,,0.0,0.0
PCBP4_MOUSE,ST-Ctrl,-0.2214010938261,0.090407039873721,-2.44893643388114,7.0,0.044176109916741,0.193444129116547,,0.0583333333333333,0.0583333333333333
PCKGC_MOUSE,ST-Ctrl,0.0568401328523924,0.503082620969417,0.112983693896768,4.0,0.915486832080116,0.95596935418015,,0.25,0.15
PCM1_MOUSE,ST-Ctrl,-0.101248214323768,0.178926355438454,-0.565865291760192,4.0,0.601720631620695,0.756906937246448,,0.15,0.05
PCNA_MOUSE,ST-Ctrl,-2.1627376890062,0.257770897905285,-8.39015461629369,6.0,0.0001560771839859,0.0231142379950882,,0.252173913043478,0.252173913043478
